driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
ALB,Williams,1.0,,,0 days 00:00:44.007000,0 days 00:00:24.378000,1.0,SOFT,1.0,12,Bahrain Grand Prix,R,2024,,,44.007,24.378,97.918,,True
ALB,Williams,2.0,0 days 00:01:38.826000,0 days 00:00:31.419000,0 days 00:00:43.106000,0 days 00:00:24.301000,1.0,SOFT,2.0,1,Bahrain Grand Prix,R,2024,98.826,31.419,43.106,24.301,97.918,0.907999999999987,False
ALB,Williams,3.0,0 days 00:01:38.507000,0 days 00:00:31.002000,0 days 00:00:43.081000,0 days 00:00:24.424000,1.0,SOFT,3.0,1,Bahrain Grand Prix,R,2024,98.507,31.002,43.081,24.424,97.918,0.5889999999999986,False
ALB,Williams,4.0,0 days 00:01:38.422000,0 days 00:00:31.023000,0 days 00:00:43.007000,0 days 00:00:24.392000,1.0,SOFT,4.0,1,Bahrain Grand Prix,R,2024,98.422,31.023,43.007,24.392,97.918,0.5039999999999907,False
ALB,Williams,5.0,0 days 00:01:38.509000,0 days 00:00:31.049000,0 days 00:00:43.027000,0 days 00:00:24.433000,1.0,SOFT,5.0,1,Bahrain Grand Prix,R,2024,98.509,31.049,43.027,24.433,97.918,0.590999999999994,False
ALB,Williams,6.0,0 days 00:01:38.575000,0 days 00:00:31.034000,0 days 00:00:43.141000,0 days 00:00:24.400000,1.0,SOFT,6.0,1,Bahrain Grand Prix,R,2024,98.575,31.034,43.141,24.4,97.918,0.6569999999999965,False
ALB,Williams,7.0,0 days 00:01:38.971000,0 days 00:00:31.498000,0 days 00:00:43.186000,0 days 00:00:24.287000,1.0,SOFT,7.0,1,Bahrain Grand Prix,R,2024,98.971,31.498,43.186,24.287,97.918,1.0529999999999973,False
ALB,Williams,8.0,0 days 00:01:38.660000,0 days 00:00:31.493000,0 days 00:00:42.899000,0 days 00:00:24.268000,1.0,SOFT,8.0,1,Bahrain Grand Prix,R,2024,98.66,31.493,42.899,24.268,97.918,0.7419999999999902,False
ALB,Williams,9.0,0 days 00:01:38.652000,0 days 00:00:31.458000,0 days 00:00:42.976000,0 days 00:00:24.218000,1.0,SOFT,9.0,1,Bahrain Grand Prix,R,2024,98.652,31.458,42.976,24.218,97.918,0.7339999999999947,False
ALB,Williams,10.0,0 days 00:01:38.952000,0 days 00:00:31.624000,0 days 00:00:42.955000,0 days 00:00:24.373000,1.0,SOFT,10.0,12,Bahrain Grand Prix,R,2024,98.952,31.624,42.955,24.373,97.918,1.0339999999999918,False
ALB,Williams,11.0,0 days 00:01:38.835000,0 days 00:00:31.490000,0 days 00:00:42.923000,0 days 00:00:24.422000,1.0,SOFT,11.0,1,Bahrain Grand Prix,R,2024,98.835,31.49,42.923,24.422,97.918,0.9169999999999874,False
ALB,Williams,12.0,0 days 00:01:38.934000,0 days 00:00:31.510000,0 days 00:00:43.065000,0 days 00:00:24.359000,1.0,SOFT,12.0,1,Bahrain Grand Prix,R,2024,98.934,31.51,43.065,24.359,97.918,1.0159999999999911,False
ALB,Williams,13.0,0 days 00:01:38.823000,0 days 00:00:31.569000,0 days 00:00:42.884000,0 days 00:00:24.370000,1.0,SOFT,13.0,1,Bahrain Grand Prix,R,2024,98.823,31.569,42.884,24.37,97.918,0.9049999999999869,False
ALB,Williams,14.0,0 days 00:01:38.977000,0 days 00:00:31.598000,0 days 00:00:42.931000,0 days 00:00:24.448000,1.0,SOFT,14.0,1,Bahrain Grand Prix,R,2024,98.977,31.598,42.931,24.448,97.918,1.0589999999999975,False
ALB,Williams,15.0,0 days 00:01:41.171000,0 days 00:00:31.510000,0 days 00:00:42.741000,0 days 00:00:26.920000,1.0,SOFT,15.0,1,Bahrain Grand Prix,R,2024,101.171,31.51,42.741,26.92,97.918,3.253,False
ALB,Williams,16.0,0 days 00:01:59.341000,0 days 00:00:52.731000,0 days 00:00:42.591000,0 days 00:00:24.019000,2.0,HARD,1.0,1,Bahrain Grand Prix,R,2024,119.341,52.731,42.591,24.019,97.918,21.422999999999988,True
ALB,Williams,17.0,0 days 00:01:37.392000,0 days 00:00:30.812000,0 days 00:00:42.564000,0 days 00:00:24.016000,2.0,HARD,2.0,1,Bahrain Grand Prix,R,2024,97.392,30.812,42.564,24.016,97.918,-0.5260000000000105,False
ALB,Williams,18.0,0 days 00:01:37.590000,0 days 00:00:31.214000,0 days 00:00:42.369000,0 days 00:00:24.007000,2.0,HARD,3.0,1,Bahrain Grand Prix,R,2024,97.59,31.214,42.369,24.007,97.918,-0.32800000000000296,False
ALB,Williams,19.0,0 days 00:01:37.763000,0 days 00:00:31.357000,0 days 00:00:42.448000,0 days 00:00:23.958000,2.0,HARD,4.0,1,Bahrain Grand Prix,R,2024,97.763,31.357,42.448,23.958,97.918,-0.15500000000000114,False
ALB,Williams,20.0,0 days 00:01:37.701000,0 days 00:00:31.328000,0 days 00:00:42.379000,0 days 00:00:23.994000,2.0,HARD,5.0,1,Bahrain Grand Prix,R,2024,97.701,31.328,42.379,23.994,97.918,-0.21700000000001296,False
ALB,Williams,21.0,0 days 00:01:37.918000,0 days 00:00:31.227000,0 days 00:00:42.440000,0 days 00:00:24.251000,2.0,HARD,6.0,1,Bahrain Grand Prix,R,2024,97.918,31.227,42.44,24.251,97.918,0.0,False
ALB,Williams,22.0,0 days 00:01:38.031000,0 days 00:00:31.199000,0 days 00:00:42.733000,0 days 00:00:24.099000,2.0,HARD,7.0,1,Bahrain Grand Prix,R,2024,98.031,31.199,42.733,24.099,97.918,0.11299999999999955,False
ALB,Williams,23.0,0 days 00:01:37.869000,0 days 00:00:31.296000,0 days 00:00:42.361000,0 days 00:00:24.212000,2.0,HARD,8.0,1,Bahrain Grand Prix,R,2024,97.869,31.296,42.361,24.212,97.918,-0.049000000000006594,False
ALB,Williams,24.0,0 days 00:01:38.204000,0 days 00:00:31.035000,0 days 00:00:42.857000,0 days 00:00:24.312000,2.0,HARD,9.0,1,Bahrain Grand Prix,R,2024,98.204,31.035,42.857,24.312,97.918,0.28599999999998715,False
ALB,Williams,25.0,0 days 00:01:38.226000,0 days 00:00:31.095000,0 days 00:00:42.952000,0 days 00:00:24.179000,2.0,HARD,10.0,1,Bahrain Grand Prix,R,2024,98.226,31.095,42.952,24.179,97.918,0.3079999999999927,False
