driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
ALB,Williams,1.0,,,0 days 00:00:20.535000,0 days 00:00:40.833000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026,,,20.535,40.833,99.026,,True
ALB,Williams,2.0,0 days 00:01:21.802000,0 days 00:00:28.934000,0 days 00:00:17.771000,0 days 00:00:35.097000,1.0,SOFT,2.0,1,Australian Grand Prix,Q,2026,81.802,28.934,17.771,35.097,99.026,-17.22399999999999,False
ALB,Williams,3.0,0 days 00:01:54.904000,0 days 00:00:43.360000,0 days 00:00:24.474000,0 days 00:00:47.070000,1.0,SOFT,3.0,1,Australian Grand Prix,Q,2026,114.904,43.36,24.474,47.07,99.026,15.878,False
ALB,Williams,4.0,0 days 00:01:22.223000,0 days 00:00:29.214000,0 days 00:00:17.902000,0 days 00:00:35.107000,1.0,SOFT,4.0,1,Australian Grand Prix,Q,2026,82.223,29.214,17.902,35.107,99.026,-16.802999999999997,False
ALB,Williams,5.0,,0 days 00:00:34.940000,0 days 00:00:21.703000,,1.0,SOFT,5.0,1,Australian Grand Prix,Q,2026,,34.94,21.703,,99.026,,False
ALB,Williams,6.0,,0 days 00:00:46.783000,0 days 00:00:20.079000,,2.0,SOFT,1.0,125,Australian Grand Prix,Q,2026,,46.783,20.079,,99.026,,True
ALB,Williams,7.0,0 days 00:01:53.099000,0 days 00:00:52.653000,0 days 00:00:20.211000,0 days 00:00:40.235000,3.0,SOFT,2.0,1,Australian Grand Prix,Q,2026,113.099,52.653,20.211,40.235,99.026,14.073000000000008,True
ALB,Williams,8.0,0 days 00:01:21.481000,0 days 00:00:28.822000,0 days 00:00:17.722000,0 days 00:00:34.937000,3.0,SOFT,3.0,1,Australian Grand Prix,Q,2026,81.481,28.822,17.722,34.937,99.026,-17.545,False
ALB,Williams,9.0,0 days 00:01:52.886000,0 days 00:00:43.941000,0 days 00:00:24.988000,0 days 00:00:43.957000,3.0,SOFT,4.0,1,Australian Grand Prix,Q,2026,112.886,43.941,24.988,43.957,99.026,13.86,False
ALB,Williams,10.0,0 days 00:01:21.051000,0 days 00:00:28.440000,0 days 00:00:17.670000,0 days 00:00:34.941000,3.0,SOFT,5.0,1,Australian Grand Prix,Q,2026,81.051,28.44,17.67,34.941,99.026,-17.974999999999994,False
ALB,Williams,11.0,,0 days 00:00:34.318000,0 days 00:00:22.625000,,3.0,SOFT,6.0,12,Australian Grand Prix,Q,2026,,34.318,22.625,,99.026,,False
ALB,Williams,12.0,0 days 00:01:56.823000,0 days 00:00:57.792000,0 days 00:00:19.842000,0 days 00:00:39.189000,4.0,SOFT,6.0,1,Australian Grand Prix,Q,2026,116.823,57.792,19.842,39.189,99.026,17.796999999999997,True
ALB,Williams,13.0,0 days 00:01:21.975000,0 days 00:00:29.278000,0 days 00:00:17.751000,0 days 00:00:34.946000,4.0,SOFT,7.0,1,Australian Grand Prix,Q,2026,81.975,29.278,17.751,34.946,99.026,-17.051000000000002,False
ALB,Williams,14.0,0 days 00:01:59.300000,0 days 00:00:37.114000,0 days 00:00:22.380000,0 days 00:00:59.806000,4.0,SOFT,8.0,1,Australian Grand Prix,Q,2026,119.3,37.114,22.38,59.806,99.026,20.274,False
ALB,Williams,15.0,0 days 00:01:39.026000,0 days 00:00:39.954000,0 days 00:00:19.719000,0 days 00:00:39.353000,5.0,SOFT,1.0,1,Australian Grand Prix,Q,2026,99.026,39.954,19.719,39.353,99.026,0.0,True
ALB,Williams,16.0,0 days 00:01:20.941000,0 days 00:00:28.292000,0 days 00:00:17.740000,0 days 00:00:34.909000,5.0,SOFT,2.0,1,Australian Grand Prix,Q,2026,80.941,28.292,17.74,34.909,99.026,-18.084999999999994,False
ALB,Williams,17.0,,0 days 00:00:36.115000,0 days 00:00:23.361000,,5.0,SOFT,3.0,1,Australian Grand Prix,Q,2026,,36.115,23.361,,99.026,,False
ALB,Williams,18.0,0 days 00:01:43.318000,0 days 00:00:39.229000,0 days 00:00:23.051000,0 days 00:00:41.038000,6.0,SOFT,1.0,1,Australian Grand Prix,Q,2026,103.318,39.229,23.051,41.038,99.026,4.292000000000002,True
ALB,Williams,19.0,,0 days 00:00:39.928000,0 days 00:00:21.241000,,6.0,SOFT,2.0,1,Australian Grand Prix,Q,2026,,39.928,21.241,,99.026,,False
ALO,Aston Martin,1.0,0 days 00:02:13.764000,0 days 00:01:11.288000,0 days 00:00:21.263000,0 days 00:00:41.213000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026,133.764,71.288,21.263,41.213,91.577,42.18700000000001,True
ALO,Aston Martin,2.0,0 days 00:01:23.011000,0 days 00:00:29.274000,0 days 00:00:18.305000,0 days 00:00:35.432000,1.0,SOFT,2.0,1,Australian Grand Prix,Q,2026,83.011,29.274,18.305,35.432,91.577,-8.566000000000003,False
