driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
ALB,Williams,1.0,,,0 days 00:00:19.018000,0 days 00:00:39.109000,1.0,MEDIUM,1.0,1,Australian Grand Prix,R,2026,,,19.018,39.109,85.6155,,True
ALB,Williams,2.0,0 days 00:01:27.780000,0 days 00:00:31.155000,0 days 00:00:18.160000,0 days 00:00:38.465000,1.0,MEDIUM,2.0,1,Australian Grand Prix,R,2026,87.78,31.155,18.16,38.465,85.6155,2.164500000000004,False
ALB,Williams,3.0,0 days 00:01:27.512000,0 days 00:00:31.369000,0 days 00:00:18.234000,0 days 00:00:37.909000,1.0,MEDIUM,3.0,1,Australian Grand Prix,R,2026,87.512,31.369,18.234,37.909,85.6155,1.8965000000000032,False
ALB,Williams,4.0,0 days 00:01:27.911000,0 days 00:00:30.836000,0 days 00:00:18.153000,0 days 00:00:38.922000,1.0,MEDIUM,4.0,1,Australian Grand Prix,R,2026,87.911,30.836,18.153,38.922,85.6155,2.295500000000004,False
ALB,Williams,5.0,0 days 00:01:27.176000,0 days 00:00:30.385000,0 days 00:00:18.275000,0 days 00:00:38.516000,1.0,MEDIUM,5.0,1,Australian Grand Prix,R,2026,87.176,30.385,18.275,38.516,85.6155,1.5605000000000047,False
ALB,Williams,6.0,0 days 00:01:26.436000,0 days 00:00:30.347000,0 days 00:00:18.545000,0 days 00:00:37.544000,1.0,MEDIUM,6.0,1,Australian Grand Prix,R,2026,86.436,30.347,18.545,37.544,85.6155,0.8205000000000098,False
ALB,Williams,7.0,0 days 00:01:25.688000,0 days 00:00:30.041000,0 days 00:00:18.442000,0 days 00:00:37.205000,1.0,MEDIUM,7.0,1,Australian Grand Prix,R,2026,85.688,30.041,18.442,37.205,85.6155,0.07250000000000512,False
ALB,Williams,8.0,0 days 00:01:25.558000,0 days 00:00:29.979000,0 days 00:00:18.318000,0 days 00:00:37.261000,1.0,MEDIUM,8.0,1,Australian Grand Prix,R,2026,85.558,29.979,18.318,37.261,85.6155,-0.05749999999999034,False
ALB,Williams,9.0,0 days 00:01:25.728000,0 days 00:00:30.086000,0 days 00:00:18.257000,0 days 00:00:37.385000,1.0,MEDIUM,9.0,1,Australian Grand Prix,R,2026,85.728,30.086,18.257,37.385,85.6155,0.11249999999999716,False
ALB,Williams,10.0,0 days 00:01:26.030000,0 days 00:00:30.181000,0 days 00:00:18.432000,0 days 00:00:37.417000,1.0,MEDIUM,10.0,1,Australian Grand Prix,R,2026,86.03,30.181,18.432,37.417,85.6155,0.41450000000000387,False
ALB,Williams,11.0,0 days 00:01:33.980000,0 days 00:00:30.057000,0 days 00:00:18.391000,0 days 00:00:45.532000,1.0,MEDIUM,11.0,16,Australian Grand Prix,R,2026,93.98,30.057,18.391,45.532,85.6155,8.364500000000007,False
ALB,Williams,12.0,0 days 00:02:05.578000,0 days 00:00:40.480000,0 days 00:00:27.083000,0 days 00:00:58.015000,1.0,MEDIUM,12.0,6,Australian Grand Prix,R,2026,125.578,40.48,27.083,58.015,85.6155,39.962500000000006,False
ALB,Williams,13.0,0 days 00:01:52.348000,0 days 00:00:44.516000,0 days 00:00:26.746000,0 days 00:00:41.086000,2.0,HARD,1.0,671,Australian Grand Prix,R,2026,112.348,44.516,26.746,41.086,85.6155,26.7325,True
ALB,Williams,14.0,0 days 00:01:25.379000,0 days 00:00:30.090000,0 days 00:00:18.340000,0 days 00:00:36.949000,2.0,HARD,2.0,1,Australian Grand Prix,R,2026,85.379,30.09,18.34,36.949,85.6155,-0.23649999999999238,False
ALB,Williams,15.0,0 days 00:01:25.035000,0 days 00:00:29.782000,0 days 00:00:18.291000,0 days 00:00:36.962000,2.0,HARD,3.0,1,Australian Grand Prix,R,2026,85.035,29.782,18.291,36.962,85.6155,-0.5805000000000007,False
ALB,Williams,16.0,0 days 00:01:28.434000,0 days 00:00:32.674000,0 days 00:00:18.369000,0 days 00:00:37.391000,2.0,HARD,4.0,1,Australian Grand Prix,R,2026,88.434,32.674,18.369,37.391,85.6155,2.8185000000000002,False
ALB,Williams,17.0,0 days 00:01:25.662000,0 days 00:00:29.953000,0 days 00:00:18.346000,0 days 00:00:37.363000,2.0,HARD,5.0,1,Australian Grand Prix,R,2026,85.662,29.953,18.346,37.363,85.6155,0.04650000000000887,False
ALB,Williams,18.0,0 days 00:01:44.028000,0 days 00:00:29.856000,0 days 00:00:26.359000,0 days 00:00:47.813000,2.0,HARD,6.0,126,Australian Grand Prix,R,2026,104.028,29.856,26.359,47.813,85.6155,18.41250000000001,False
ALB,Williams,19.0,0 days 00:01:49.476000,0 days 00:00:40.275000,0 days 00:00:25.064000,0 days 00:00:44.137000,2.0,HARD,7.0,671,Australian Grand Prix,R,2026,109.476,40.275,25.064,44.137,85.6155,23.860500000000002,False
ALB,Williams,20.0,0 days 00:01:25.041000,0 days 00:00:29.647000,0 days 00:00:18.338000,0 days 00:00:37.056000,2.0,HARD,8.0,1,Australian Grand Prix,R,2026,85.041,29.647,18.338,37.056,85.6155,-0.5745000000000005,False
ALB,Williams,21.0,0 days 00:01:25.065000,0 days 00:00:29.694000,0 days 00:00:18.172000,0 days 00:00:37.199000,2.0,HARD,9.0,1,Australian Grand Prix,R,2026,85.065,29.694,18.172,37.199,85.6155,-0.5504999999999995,False
ALB,Williams,22.0,0 days 00:01:25.297000,0 days 00:00:29.771000,0 days 00:00:18.290000,0 days 00:00:37.236000,2.0,HARD,10.0,1,Australian Grand Prix,R,2026,85.297,29.771,18.29,37.236,85.6155,-0.3185000000000002,False
ALB,Williams,23.0,0 days 00:01:25.258000,0 days 00:00:29.798000,0 days 00:00:18.173000,0 days 00:00:37.287000,2.0,HARD,11.0,1,Australian Grand Prix,R,2026,85.258,29.798000000000002,18.173,37.287,85.6155,-0.3575000000000017,False
ALB,Williams,24.0,0 days 00:01:25.334000,0 days 00:00:29.842000,0 days 00:00:18.245000,0 days 00:00:37.247000,2.0,HARD,12.0,1,Australian Grand Prix,R,2026,85.334,29.842,18.245,37.247,85.6155,-0.2814999999999941,False
ALB,Williams,25.0,0 days 00:01:25.569000,0 days 00:00:29.990000,0 days 00:00:18.291000,0 days 00:00:37.288000,2.0,HARD,13.0,1,Australian Grand Prix,R,2026,85.569,29.99,18.291,37.288,85.6155,-0.04649999999999466,False
ALB,Williams,26.0,0 days 00:01:25.782000,0 days 00:00:29.871000,0 days 00:00:18.341000,0 days 00:00:37.570000,2.0,HARD,14.0,1,Australian Grand Prix,R,2026,85.782,29.871,18.341,37.57,85.6155,0.1664999999999992,False
ALB,Williams,27.0,0 days 00:01:25.734000,0 days 00:00:29.901000,0 days 00:00:18.232000,0 days 00:00:37.601000,2.0,HARD,15.0,1,Australian Grand Prix,R,2026,85.734,29.901,18.232,37.601,85.6155,0.11849999999999739,False
ALB,Williams,28.0,0 days 00:01:26.642000,0 days 00:00:30.362000,0 days 00:00:18.456000,0 days 00:00:37.824000,2.0,HARD,16.0,1,Australian Grand Prix,R,2026,86.642,30.362,18.456,37.824,85.6155,1.0264999999999986,False
ALB,Williams,29.0,0 days 00:01:26.614000,0 days 00:00:30.359000,0 days 00:00:18.191000,0 days 00:00:38.064000,2.0,HARD,17.0,1,Australian Grand Prix,R,2026,86.614,30.359,18.191,38.064,85.6155,0.998500000000007,False
ALB,Williams,30.0,0 days 00:01:26.472000,0 days 00:00:30.327000,0 days 00:00:18.382000,0 days 00:00:37.763000,2.0,HARD,18.0,1,Australian Grand Prix,R,2026,86.472,30.327,18.382,37.763,85.6155,0.8564999999999969,False
ALB,Williams,31.0,0 days 00:01:26.523000,0 days 00:00:30.134000,0 days 00:00:18.460000,0 days 00:00:37.929000,2.0,HARD,19.0,1,Australian Grand Prix,R,2026,86.523,30.134,18.46,37.929,85.6155,0.9074999999999989,False
ALB,Williams,32.0,0 days 00:01:26.459000,0 days 00:00:30.357000,0 days 00:00:18.353000,0 days 00:00:37.749000,2.0,HARD,20.0,1,Australian Grand Prix,R,2026,86.459,30.357,18.353,37.749,85.6155,0.8435000000000059,False
ALB,Williams,33.0,0 days 00:01:50.030000,0 days 00:00:30.255000,0 days 00:00:18.445000,0 days 00:01:01.330000,2.0,HARD,21.0,167,Australian Grand Prix,R,2026,110.03,30.255,18.445,61.33,85.6155,24.414500000000004,False
ALB,Williams,34.0,0 days 00:01:30.918000,0 days 00:00:36.035000,0 days 00:00:18.141000,0 days 00:00:36.742000,3.0,SOFT,1.0,1,Australian Grand Prix,R,2026,90.918,36.035,18.141,36.742,85.6155,5.302500000000009,True
ALB,Williams,35.0,0 days 00:01:24.446000,0 days 00:00:29.483000,0 days 00:00:18.135000,0 days 00:00:36.828000,3.0,SOFT,2.0,1,Australian Grand Prix,R,2026,84.446,29.483,18.135,36.828,85.6155,-1.1694999999999993,False
ALB,Williams,36.0,0 days 00:01:24.375000,0 days 00:00:29.418000,0 days 00:00:18.165000,0 days 00:00:36.792000,3.0,SOFT,3.0,1,Australian Grand Prix,R,2026,84.375,29.418,18.165,36.792,85.6155,-1.2404999999999973,False
ALB,Williams,37.0,0 days 00:01:25.052000,0 days 00:00:29.898000,0 days 00:00:18.205000,0 days 00:00:36.949000,3.0,SOFT,4.0,1,Australian Grand Prix,R,2026,85.052,29.898,18.205,36.949,85.6155,-0.5634999999999906,False
ALB,Williams,38.0,0 days 00:01:26.338000,0 days 00:00:29.646000,0 days 00:00:18.304000,0 days 00:00:38.388000,3.0,SOFT,5.0,1,Australian Grand Prix,R,2026,86.338,29.646,18.304,38.388,85.6155,0.7224999999999966,False
ALB,Williams,39.0,0 days 00:01:24.858000,0 days 00:00:29.970000,0 days 00:00:18.028000,0 days 00:00:36.860000,3.0,SOFT,6.0,1,Australian Grand Prix,R,2026,84.858,29.97,18.028,36.86,85.6155,-0.7574999999999932,False
ALB,Williams,40.0,0 days 00:01:26.672000,0 days 00:00:29.920000,0 days 00:00:18.212000,0 days 00:00:38.540000,3.0,SOFT,7.0,1,Australian Grand Prix,R,2026,86.672,29.92,18.212,38.54,85.6155,1.0564999999999998,False
