Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
VER,Red Bull Racing,1.0,,,0 days 00:00:41.266000,0 days 00:00:23.616000,1.0,SOFT,4.0,12,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,2.0,0 days 00:01:36.296000,0 days 00:00:30.916000,0 days 00:00:41.661000,0 days 00:00:23.719000,1.0,SOFT,5.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,3.0,0 days 00:01:36.753000,0 days 00:00:30.999000,0 days 00:00:41.966000,0 days 00:00:23.788000,1.0,SOFT,6.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,4.0,0 days 00:01:36.647000,0 days 00:00:30.931000,0 days 00:00:41.892000,0 days 00:00:23.824000,1.0,SOFT,7.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,5.0,0 days 00:01:37.173000,0 days 00:00:31.255000,0 days 00:00:42.056000,0 days 00:00:23.862000,1.0,SOFT,8.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,6.0,0 days 00:01:37.092000,0 days 00:00:31.041000,0 days 00:00:42.187000,0 days 00:00:23.864000,1.0,SOFT,9.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,7.0,0 days 00:01:37.038000,0 days 00:00:31.015000,0 days 00:00:42.118000,0 days 00:00:23.905000,1.0,SOFT,10.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,8.0,0 days 00:01:37.024000,0 days 00:00:31.041000,0 days 00:00:42.077000,0 days 00:00:23.906000,1.0,SOFT,11.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,9.0,0 days 00:01:37.229000,0 days 00:00:31.100000,0 days 00:00:42.166000,0 days 00:00:23.963000,1.0,SOFT,12.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,10.0,0 days 00:01:36.960000,0 days 00:00:30.986000,0 days 00:00:42.009000,0 days 00:00:23.965000,1.0,SOFT,13.0,12,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,11.0,0 days 00:01:37.085000,0 days 00:00:30.974000,0 days 00:00:42.142000,0 days 00:00:23.969000,1.0,SOFT,14.0,21,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,12.0,0 days 00:01:37.045000,0 days 00:00:30.966000,0 days 00:00:42.091000,0 days 00:00:23.988000,1.0,SOFT,15.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,13.0,0 days 00:01:37.030000,0 days 00:00:30.964000,0 days 00:00:42.055000,0 days 00:00:24.011000,1.0,SOFT,16.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,14.0,0 days 00:01:37.028000,0 days 00:00:30.938000,0 days 00:00:42.042000,0 days 00:00:24.048000,1.0,SOFT,17.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,15.0,0 days 00:01:37.011000,0 days 00:00:30.887000,0 days 00:00:42.058000,0 days 00:00:24.066000,1.0,SOFT,18.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,16.0,0 days 00:01:37.168000,0 days 00:00:31.048000,0 days 00:00:42.032000,0 days 00:00:24.088000,1.0,SOFT,19.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,17.0,0 days 00:01:39.896000,0 days 00:00:31.006000,0 days 00:00:42.060000,0 days 00:00:26.830000,1.0,SOFT,20.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,18.0,0 days 00:01:57.854000,0 days 00:00:52.815000,0 days 00:00:41.511000,0 days 00:00:23.528000,2.0,HARD,1.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,19.0,0 days 00:01:35.283000,0 days 00:00:30.628000,0 days 00:00:41.162000,0 days 00:00:23.493000,2.0,HARD,2.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,20.0,0 days 00:01:35.160000,0 days 00:00:30.585000,0 days 00:00:41.100000,0 days 00:00:23.475000,2.0,HARD,3.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,21.0,0 days 00:01:35.316000,0 days 00:00:30.576000,0 days 00:00:41.240000,0 days 00:00:23.500000,2.0,HARD,4.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,22.0,0 days 00:01:35.204000,0 days 00:00:30.560000,0 days 00:00:41.142000,0 days 00:00:23.502000,2.0,HARD,5.0,1,Bahrain Grand Prix,R,2024
VER,Red Bull Racing,23.0,0 days 00:01:35.216000,0 days 00:00:30.553000,0 days 00:00:41.145000,0 days 00:00:23.518000,2.0,HARD,6.0,1,Bahrain Grand Prix,R,2024
