Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,1.0,0 days 00:02:28.300000,0 days 00:01:20.197000,0 days 00:00:21.307000,0 days 00:00:46.796000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,2.0,0 days 00:01:40.995000,0 days 00:00:34.687000,0 days 00:00:20.724000,0 days 00:00:45.584000,1.0,SOFT,2.0,12,Australian Grand Prix,FP3,2026
NOR,McLaren,3.0,0 days 00:01:27.517000,0 days 00:00:28.821000,0 days 00:00:17.877000,0 days 00:00:40.819000,1.0,SOFT,3.0,26,Australian Grand Prix,FP3,2026
NOR,McLaren,4.0,0 days 00:02:09.252000,0 days 00:00:48.332000,0 days 00:00:25.025000,0 days 00:00:55.895000,1.0,SOFT,4.0,6,Australian Grand Prix,FP3,2026
NOR,McLaren,5.0,,0 days 00:00:40.239000,0 days 00:00:27.328000,,1.0,SOFT,5.0,6512,Australian Grand Prix,FP3,2026
NOR,McLaren,6.0,,0 days 00:01:33.720000,0 days 00:00:20.735000,0 days 00:00:40.271000,2.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,7.0,0 days 00:01:21.438000,0 days 00:00:28.357000,0 days 00:00:18.139000,0 days 00:00:34.942000,2.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,8.0,0 days 00:01:56.975000,0 days 00:00:41.083000,0 days 00:00:25.693000,0 days 00:00:50.199000,2.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,9.0,0 days 00:01:55.536000,0 days 00:00:38.567000,0 days 00:00:25.496000,0 days 00:00:51.473000,2.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,10.0,0 days 00:01:35.658000,0 days 00:00:36.340000,0 days 00:00:20.518000,0 days 00:00:38.800000,2.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,11.0,0 days 00:01:21.163000,0 days 00:00:28.400000,0 days 00:00:17.983000,0 days 00:00:34.780000,2.0,SOFT,11.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,12.0,0 days 00:01:52.408000,0 days 00:00:39.435000,0 days 00:00:25.198000,0 days 00:00:47.775000,2.0,SOFT,12.0,12,Australian Grand Prix,FP3,2026
NOR,McLaren,13.0,0 days 00:01:45.721000,0 days 00:00:35.779000,0 days 00:00:24.101000,0 days 00:00:45.841000,2.0,SOFT,13.0,21,Australian Grand Prix,FP3,2026
NOR,McLaren,14.0,0 days 00:01:21.458000,0 days 00:00:28.298000,0 days 00:00:17.807000,0 days 00:00:35.353000,2.0,SOFT,14.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,15.0,0 days 00:01:50.214000,0 days 00:00:39.663000,0 days 00:00:24.962000,0 days 00:00:45.589000,2.0,SOFT,15.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,16.0,0 days 00:01:21.039000,0 days 00:00:28.496000,0 days 00:00:17.932000,0 days 00:00:34.611000,2.0,SOFT,16.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,17.0,,0 days 00:00:32.350000,0 days 00:00:20.925000,,2.0,SOFT,17.0,125,Australian Grand Prix,FP3,2026
NOR,McLaren,18.0,,,0 days 00:00:20.151000,0 days 00:00:39.354000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,19.0,0 days 00:01:20.443000,0 days 00:00:28.224000,0 days 00:00:17.784000,0 days 00:00:34.435000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,20.0,0 days 00:01:27.635000,0 days 00:00:31.166000,0 days 00:00:20.780000,0 days 00:00:35.689000,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,21.0,,0 days 00:00:37.383000,0 days 00:00:24.431000,,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
NOR,McLaren,22.0,,0 days 00:00:37.138000,0 days 00:00:18.221000,,3.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,1.0,,,0 days 00:00:20.328000,0 days 00:00:39.272000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,2.0,0 days 00:01:20.979000,0 days 00:00:28.380000,0 days 00:00:17.776000,0 days 00:00:34.823000,1.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,3.0,0 days 00:02:16.003000,0 days 00:00:46.401000,0 days 00:00:24.626000,0 days 00:01:04.976000,1.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,4.0,0 days 00:01:43.250000,0 days 00:00:38.758000,0 days 00:00:20.623000,0 days 00:00:43.869000,2.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,5.0,0 days 00:01:20.508000,0 days 00:00:28.061000,0 days 00:00:17.905000,0 days 00:00:34.542000,2.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,6.0,0 days 00:01:43.150000,0 days 00:00:43.571000,0 days 00:00:20.726000,0 days 00:00:38.853000,2.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,7.0,0 days 00:01:22.062000,0 days 00:00:28.356000,0 days 00:00:18.281000,0 days 00:00:35.425000,2.0,SOFT,7.0,12,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,8.0,0 days 00:01:24.351000,0 days 00:00:30.935000,0 days 00:00:17.951000,0 days 00:00:35.465000,2.0,SOFT,8.0,21,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,9.0,0 days 00:01:21.973000,0 days 00:00:28.330000,0 days 00:00:17.671000,0 days 00:00:35.972000,2.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,10.0,0 days 00:01:22.186000,0 days 00:00:28.563000,0 days 00:00:18.106000,0 days 00:00:35.517000,2.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,11.0,,0 days 00:00:29.873000,0 days 00:00:18.903000,,2.0,SOFT,11.0,125,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,12.0,0 days 00:01:58.928000,0 days 00:00:55.030000,0 days 00:00:19.310000,0 days 00:00:44.588000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,13.0,0 days 00:01:20.197000,0 days 00:00:27.798000,0 days 00:00:17.902000,0 days 00:00:34.497000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,14.0,,0 days 00:00:41.294000,0 days 00:00:23.220000,,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
VER,Red Bull Racing,15.0,,0 days 00:00:30.688000,0 days 00:00:18.307000,,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,1.0,0 days 00:02:04.999000,0 days 00:01:02.469000,0 days 00:00:21.053000,0 days 00:00:41.477000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,2.0,0 days 00:01:38.239000,0 days 00:00:32.291000,0 days 00:00:20.754000,0 days 00:00:45.194000,1.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,3.0,0 days 00:01:22.287000,0 days 00:00:29.181000,0 days 00:00:17.806000,0 days 00:00:35.300000,1.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,4.0,0 days 00:02:10.034000,0 days 00:00:49.105000,0 days 00:00:28.953000,0 days 00:00:51.976000,1.0,SOFT,4.0,12,Australian Grand Prix,FP3,2026
BOR,Audi,5.0,0 days 00:02:15.482000,0 days 00:00:28.806000,0 days 00:00:39.516000,0 days 00:01:07.160000,1.0,SOFT,5.0,26,Australian Grand Prix,FP3,2026
BOR,Audi,6.0,,0 days 00:00:33.890000,0 days 00:00:20.612000,,1.0,SOFT,6.0,6512,Australian Grand Prix,FP3,2026
BOR,Audi,7.0,0 days 00:02:00.019000,0 days 00:00:57.364000,0 days 00:00:20.938000,0 days 00:00:41.717000,2.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,8.0,0 days 00:01:30.446000,0 days 00:00:31.192000,0 days 00:00:20.392000,0 days 00:00:38.862000,2.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026
BOR,Audi,9.0,0 days 00:01:35.592000,0 days 00:00:34.874000,0 days 00:00:20.480000,0 days 00:00:40.238000,2.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026
