Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,1.0,,,0 days 00:00:18.163000,0 days 00:00:38.796000,1.0,MEDIUM,1.0,1,Australian Grand Prix,R,2026
NOR,McLaren,2.0,0 days 00:01:27.344000,0 days 00:00:31.074000,0 days 00:00:18.116000,0 days 00:00:38.154000,1.0,MEDIUM,2.0,1,Australian Grand Prix,R,2026
NOR,McLaren,3.0,0 days 00:01:26.863000,0 days 00:00:30.541000,0 days 00:00:18.252000,0 days 00:00:38.070000,1.0,MEDIUM,3.0,1,Australian Grand Prix,R,2026
NOR,McLaren,4.0,0 days 00:01:25.857000,0 days 00:00:30.190000,0 days 00:00:18.193000,0 days 00:00:37.474000,1.0,MEDIUM,4.0,1,Australian Grand Prix,R,2026
NOR,McLaren,5.0,0 days 00:01:25.573000,0 days 00:00:29.930000,0 days 00:00:17.868000,0 days 00:00:37.775000,1.0,MEDIUM,5.0,1,Australian Grand Prix,R,2026
NOR,McLaren,6.0,0 days 00:01:25.036000,0 days 00:00:30.025000,0 days 00:00:17.829000,0 days 00:00:37.182000,1.0,MEDIUM,6.0,1,Australian Grand Prix,R,2026
NOR,McLaren,7.0,0 days 00:01:24.978000,0 days 00:00:30.067000,0 days 00:00:17.764000,0 days 00:00:37.147000,1.0,MEDIUM,7.0,1,Australian Grand Prix,R,2026
NOR,McLaren,8.0,0 days 00:01:25.299000,0 days 00:00:30.191000,0 days 00:00:17.970000,0 days 00:00:37.138000,1.0,MEDIUM,8.0,1,Australian Grand Prix,R,2026
NOR,McLaren,9.0,0 days 00:01:25.639000,0 days 00:00:30.135000,0 days 00:00:17.770000,0 days 00:00:37.734000,1.0,MEDIUM,9.0,1,Australian Grand Prix,R,2026
NOR,McLaren,10.0,0 days 00:01:25.295000,0 days 00:00:30.117000,0 days 00:00:17.924000,0 days 00:00:37.254000,1.0,MEDIUM,10.0,1,Australian Grand Prix,R,2026
NOR,McLaren,11.0,0 days 00:01:43.391000,0 days 00:00:30.117000,0 days 00:00:17.987000,0 days 00:00:55.287000,1.0,MEDIUM,11.0,16,Australian Grand Prix,R,2026
NOR,McLaren,12.0,0 days 00:01:58.075000,0 days 00:00:44.892000,0 days 00:00:27.737000,0 days 00:00:45.446000,2.0,HARD,1.0,6,Australian Grand Prix,R,2026
NOR,McLaren,13.0,0 days 00:01:51.932000,0 days 00:00:41.529000,0 days 00:00:27.589000,0 days 00:00:42.814000,2.0,HARD,2.0,671,Australian Grand Prix,R,2026
NOR,McLaren,14.0,0 days 00:01:24.233000,0 days 00:00:29.882000,0 days 00:00:17.870000,0 days 00:00:36.481000,2.0,HARD,3.0,1,Australian Grand Prix,R,2026
NOR,McLaren,15.0,0 days 00:01:23.784000,0 days 00:00:29.402000,0 days 00:00:17.899000,0 days 00:00:36.483000,2.0,HARD,4.0,1,Australian Grand Prix,R,2026
